   0.0000000e+00   1.0000000e-03   3.0000000e-03
   1.6508609e-02   0.0000000e+00   2.0000000e-03
   3.3381769e-02   0.0000000e+00   2.0000000e-03
   4.9893943e-02   0.0000000e+00   2.0000000e-03
   6.6573007e-02   1.0000000e-03   1.0000000e-03
   8.3340467e-02   3.0000000e-03   1.0000000e-03
   1.0000579e-01   8.0000000e-03   0.0000000e+00
   1.1664802e-01   1.3000000e-02   0.0000000e+00
   1.3349407e-01   2.0000000e-02   1.0000000e-03
   1.5019522e-01   2.8000000e-02   3.0000000e-03
   1.6674325e-01   4.4000000e-02   7.0000000e-03
   1.8343628e-01   5.5000000e-02   1.1000000e-02
   2.0019233e-01   6.8000000e-02   1.6000000e-02
   2.1676501e-01   8.1000000e-02   2.1000000e-02
   2.3369561e-01   9.6000000e-02   2.7000000e-02
   2.5047510e-01   1.1800000e-01   3.9000000e-02
   2.6683300e-01   1.3300000e-01   4.8000000e-02
   2.8366751e-01   1.4800000e-01   5.7000000e-02
   3.0034071e-01   1.6200000e-01   6.8000000e-02
   3.1690717e-01   1.7500000e-01   8.0000000e-02
   3.3364232e-01   1.8600000e-01   9.3000000e-02
   3.5052037e-01   1.9600000e-01   1.0700000e-01
   3.6698917e-01   2.0500000e-01   1.2700000e-01
   3.8368851e-01   2.0700000e-01   1.3800000e-01
   4.0039863e-01   2.0600000e-01   1.4900000e-01
   4.1707430e-01   2.0100000e-01   1.6500000e-01
   4.3402527e-01   1.9400000e-01   1.7400000e-01
   4.5053362e-01   1.8500000e-01   1.8100000e-01
   4.6729746e-01   1.7500000e-01   1.8600000e-01
   4.8391464e-01   1.6000000e-01   1.9100000e-01
   5.0057443e-01   1.5100000e-01   1.9100000e-01
   5.1719274e-01   1.4100000e-01   1.9000000e-01
   5.3390261e-01   1.3300000e-01   1.8600000e-01
   5.5054840e-01   1.2100000e-01   1.7700000e-01
   5.6746566e-01   1.1400000e-01   1.6800000e-01
   5.8408073e-01   1.1000000e-01   1.5900000e-01
   6.0079759e-01   1.0800000e-01   1.4900000e-01
   6.1731975e-01   1.0800000e-01   1.4000000e-01
   6.3438194e-01   1.1300000e-01   1.2600000e-01
   6.5068141e-01   1.1900000e-01   1.1900000e-01
   6.6762859e-01   1.2800000e-01   1.1400000e-01
   6.8398753e-01   1.3800000e-01   1.1000000e-01
   7.0112902e-01   1.5000000e-01   1.0900000e-01
   7.1741817e-01   1.6400000e-01   1.1000000e-01
   7.3415264e-01   1.8700000e-01   1.1600000e-01
   7.5082450e-01   2.0200000e-01   1.2400000e-01
   7.6761567e-01   2.1900000e-01   1.3500000e-01
   7.8421865e-01   2.3600000e-01   1.4800000e-01
   8.0101405e-01   2.6000000e-01   1.7100000e-01
   8.1759908e-01   2.7600000e-01   1.8900000e-01
   8.3443407e-01   2.9100000e-01   2.0700000e-01
   8.5100786e-01   3.0400000e-01   2.2600000e-01
   8.6779190e-01   3.2300000e-01   2.5500000e-01
   8.8429059e-01   3.3300000e-01   2.7300000e-01
   9.0111834e-01   3.4000000e-01   2.8800000e-01
   9.1770297e-01   3.4500000e-01   3.0000000e-01
   9.3473243e-01   3.4800000e-01   3.1200000e-01
   9.5108556e-01   3.4900000e-01   3.1800000e-01
   9.6791905e-01   3.5000000e-01   3.2100000e-01
   9.8460653e-01   3.5000000e-01   3.2300000e-01
   1.0011754e+00   3.5000000e-01   3.2300000e-01
   1.0178150e+00   3.5000000e-01   3.2300000e-01
   1.0348031e+00   3.5000000e-01   3.2300000e-01
